zone_name,utility_name,hardness_mg_l_caco3,confidence,source_url,source_date,country_code,note
Sydney Prospect,Sydney Water,50,estimated,https://www.sydneywater.com.au/water-the-environment/how-we-manage-sydney-s-water/safe-drinking-water/water-analysis.html,2025-06-30,AU,"Inner west, Parramatta, Blacktown, Liverpool, Bankstown, CBD via Ryde."
Sydney Nepean,Sydney Water,30.5,estimated,https://www.sydneywater.com.au/water-the-environment/how-we-manage-sydney-s-water/safe-drinking-water/water-analysis.html,2025-06-30,AU,Softest zone in greater Sydney.
Sydney Illawarra,Sydney Water,32.6,estimated,https://www.sydneywater.com.au/water-the-environment/how-we-manage-sydney-s-water/safe-drinking-water/water-analysis.html,2025-06-30,AU,Wollongong and the south coast.
Sydney metropolitan average,Sydney Water,43.4,estimated,https://www.sydneywater.com.au/water-the-environment/how-we-manage-sydney-s-water/safe-drinking-water/water-analysis.html,2025-06-30,AU,Fallback for Sydney postcodes not resolved to a named zone.
Hunter Grahamstown,Hunter Water,69,estimated,https://www.hunterwater.com.au/documents/assets/src/uploads/documents/Fact-Sheets/Water-Quality/Typical-Composition-Table-Hunter-Water-s-Sources-CURRENT-Updated-December-2018.pdf,2018-12-01,AU,CHECK FIRST. Published as a 35 to 103 range; 69 is the midpoint and the range crosses the soft/moderate boundary.
Melbourne metropolitan,Melbourne Water retailers,18,estimated,https://www.health.vic.gov.au/water/drinking-water-quality-annual-reports,2024-06-30,AU,"Yarra Valley, South East and Greater Western metro zones, 15 to 29."
Eltham,Yarra Valley Water,29,estimated,https://www.health.vic.gov.au/water/drinking-water-quality-annual-reports,2024-06-30,AU,"Hardest Melbourne metro zone, still soft."
Healesville,Yarra Valley Water,8,estimated,https://www.health.vic.gov.au/water/drinking-water-quality-annual-reports,2024-06-30,AU,
Gisborne,Greater Western Water,108,estimated,https://www.health.vic.gov.au/water/drinking-water-quality-annual-reports,2024-06-30,AU,"Groundwater. Moderately hard, unlike the rest of Melbourne."
Macedon,Greater Western Water,107,estimated,https://www.health.vic.gov.au/water/drinking-water-quality-annual-reports,2024-06-30,AU,Groundwater.
Shepparton,Goulburn Valley Water,42,estimated,https://www.gvwater.vic.gov.au/Portals/0/GV-Water/Documents/Fact-Sheets-Brochures/Fact%20sheet%20-%20water%20quality%20info%20water%20hardness.pdf,2021-03-18,AU,
Ballarat,Central Highlands Water,45,estimated,https://www.chw.net.au/community/water-quality/water-hardness,2024-06-30,AU,CHECK FIRST. Utility publishes a hardness page; figure not confirmed.
Brisbane Mount Crosby,Urban Utilities,114.8,estimated,https://www.urbanutilities.com.au/residential/help-and-advice/drinking-water-quality/water-quality-water-hardness,2024-06-30,AU,Inner city and most Brisbane metro suburbs.
Moreton North Pine,Unitywater,53,estimated,https://www.unitywater.com/about-us/our-business/water-quality/whats-in-your-water,2024-06-30,AU,"North Lakes, Redcliffe and the northern suburbs."
Logan,Logan Water,70.2,estimated,https://www.seqwater.com.au/water-quality-report,2024-06-30,AU,
Redland,Redland Water,85.2,estimated,https://www.seqwater.com.au/water-quality-report,2024-06-30,AU,
Gold Coast,City of Gold Coast,33.9,estimated,https://www.seqwater.com.au/water-quality-report,2024-06-30,AU,Molendinar and Mudgeeraba. Softest in south east Queensland.
Perth integrated supply,Water Corporation,96,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-perth-aesthetic-tables.pdf,2025-06-30,AU,Scheme average. Varies widely by source; northern groundwater is far harder.
Two Rocks,Water Corporation,228,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-perth-aesthetic-tables.pdf,2025-06-30,AU,Gnangara groundwater.
Yanchep,Water Corporation,204,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-perth-aesthetic-tables.pdf,2025-06-30,AU,Gnangara groundwater.
Neerabup,Water Corporation,190,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-perth-aesthetic-tables.pdf,2025-06-30,AU,Gnangara groundwater.
Perth northern groundwater,Water Corporation,135,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-perth-aesthetic-tables.pdf,2025-06-30,AU,"Wanneroo, Mirrabooka and Lexia. Published as 124 to 145."
Albany,Water Corporation,206,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-south-west-aesthetic-tables.pdf,2025-06-30,AU,CHECK FIRST. Figure is from 2010-11 reporting.
Esperance,Water Corporation,340,estimated,https://www.watercorporation.com.au/-/media/WaterCorp/Documents/About-us/Our-performance/Drinking-Water-Quality/Dwq-annual-report-goldfields-and-ag-aesthetic-tables.pdf,2025-06-30,AU,"CHECK FIRST. Very hard, and the figure is not recent."
Adelaide metropolitan,SA Water,97,estimated,https://data.sa.gov.au/data/dataset/water-quality,2025-09-29,AU,Metro average. Published zone range is 47 to 133.
Adelaide northern,SA Water,122,estimated,https://data.sa.gov.au/data/dataset/water-quality,2025-09-29,AU,"Anstey Hill, Hope Valley, Happy Valley and Myponga mean. Higher Murray blend."
Mount Gambier,SA Water,183,estimated,https://data.sa.gov.au/data/dataset/water-quality,2025-09-29,AU,Limestone aquifer. Hard.
Canberra,Icon Water,43,estimated,https://www.iconwater.com.au/my-home/water-quality/water-quality-and-your-appliances,2025-06-30,AU,Cotter and Googong.
Hobart,TasWater,10,estimated,https://www.taswater.com.au/ArticleDocuments/286/TasWater%20Annual%20Drinking%20Water%20Quality%20Report%202023-24.pdf.aspx,2024-06-30,AU,Protected mountain catchment. Softest capital in the country.
Darwin,Power and Water,50,estimated,https://www.powerwater.com.au/__data/assets/pdf_file/0021/24834/Water_Hardness_and_home_appliances_-_Fact_sheet.pdf,2024-06-30,AU,Darwin River Dam.
Aireys Inlet (Barwon),Barwon Water,41,verified,https://www.barwonwater.vic.gov.au/__data/assets/pdf_file/0035/374678/Barwon-Water-2023-24-Annual-Drinking-Water-Quality-Report.pdf,2024-06-30,AU,"Average of monthly samples, 34 to 52 mg/L over 2023/24. Table 20."
